algorithm,inputType,n,timeMs,maxDepth,comparisons,swaps,calls,allocations
ArraysSort,RANDOM,1000,0.0231,0,0,0,0,0
MergeSort,RANDOM,1000,0.0458,7,10462,13584,127,1
QuickSort,RANDOM,1000,0.0710,7,16702,7670,669,0
DeterministicSelect,RANDOM,1000,0.0296,8,9424,8998,84,0
ClosestPair,RANDOM,1000,0.3087,10,8720,17856,975,3
ClosestPairBrute,RANDOM,1000,0.5618,0,499500,0,0,0
ArraysSort,SORTED,1000,0.0026,0,0,0,0,0
MergeSort,SORTED,1000,0.0025,7,999,936,127,1
QuickSort,SORTED,1000,0.0461,7,19046,6872,678,0
DeterministicSelect,SORTED,1000,0.0167,9,7792,6832,86,0
ClosestPair,SORTED,1000,0.1387,10,8720,17856,975,3
ClosestPairBrute,SORTED,1000,0.5978,0,499500,0,0,0
ArraysSort,REVERSE_SORTED,1000,0.0040,0,0,0,0,0
MergeSort,REVERSE_SORTED,1000,0.0172,7,10403,17236,127,1
QuickSort,REVERSE_SORTED,1000,0.0502,7,18378,6838,668,0
DeterministicSelect,REVERSE_SORTED,1000,0.0187,8,8843,9004,72,0
ClosestPair,REVERSE_SORTED,1000,0.1449,10,8720,17856,975,3
ClosestPairBrute,REVERSE_SORTED,1000,0.5845,0,499500,0,0,0
ArraysSort,DUPLICATE_HEAVY,1000,0.0212,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,1000,0.0300,7,10342,13442,127,1
QuickSort,DUPLICATE_HEAVY,1000,0.0344,5,11309,5791,101,0
DeterministicSelect,DUPLICATE_HEAVY,1000,0.0106,7,4634,4310,22,0
ClosestPair,DUPLICATE_HEAVY,1000,0.2829,10,8717,17856,975,3
ClosestPairBrute,DUPLICATE_HEAVY,1000,0.5680,0,499500,0,0,0
ArraysSort,RANDOM,2000,0.0648,0,0,0,0,0
MergeSort,RANDOM,2000,0.1064,8,22555,29802,255,1
QuickSort,RANDOM,2000,0.1437,8,40072,19220,1331,0
DeterministicSelect,RANDOM,2000,0.0698,10,19076,18257,116,0
ClosestPair,RANDOM,2000,0.6004,11,19450,39712,1951,3
ClosestPairBrute,RANDOM,2000,2.5294,0,1999000,0,0,0
ArraysSort,SORTED,2000,0.0048,0,0,0,0,0
MergeSort,SORTED,2000,0.0049,8,1999,1872,255,1
QuickSort,SORTED,2000,0.0962,8,42019,13920,1336,0
DeterministicSelect,SORTED,2000,0.0350,10,15842,13946,122,0
ClosestPair,SORTED,2000,0.2818,11,19450,39712,1951,3
ClosestPairBrute,SORTED,2000,2.7377,0,1999000,0,0,0
ArraysSort,REVERSE_SORTED,2000,0.0077,0,0,0,0,0
MergeSort,REVERSE_SORTED,2000,0.0369,8,21807,37472,255,1
QuickSort,REVERSE_SORTED,2000,0.0997,7,42436,16554,1339,0
DeterministicSelect,REVERSE_SORTED,2000,0.0391,9,18100,18445,106,0
ClosestPair,REVERSE_SORTED,2000,0.2815,11,19450,39712,1951,3
ClosestPairBrute,REVERSE_SORTED,2000,2.6713,0,1999000,0,0,0
ArraysSort,DUPLICATE_HEAVY,2000,0.0475,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,2000,0.0814,8,22725,29911,255,1
QuickSort,DUPLICATE_HEAVY,2000,0.0653,6,23433,12510,101,0
DeterministicSelect,DUPLICATE_HEAVY,2000,0.0219,7,7873,7408,15,0
ClosestPair,DUPLICATE_HEAVY,2000,0.6014,11,19370,39712,1951,3
